GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GrievanceManagementSystem,com.feedback.payloads.comment_dto,GetCommentDtoOut,4,114,4,8,2,26,4,13,0,11
GrievanceManagementSystem,com.feedback.payloads.comment_dto,CommentDto,0,58,0,0,0,25,0,11,0,11
GrievanceManagementSystem,com.feedback.entities,ERole,0,24,0,0,0,3,0,1,0,1
GrievanceManagementSystem,com.feedback.entities,Department,0,85,0,0,0,26,0,11,0,11
GrievanceManagementSystem,com.feedback.entities,Ticket,6,156,1,1,1,59,1,30,0,30
GrievanceManagementSystem,com.feedback.entities,User,0,153,0,0,0,43,0,21,0,21
GrievanceManagementSystem,com.feedback.entities,Estatus,16,48,3,3,3,9,3,3,0,3
GrievanceManagementSystem,com.feedback.entities,Comment,0,49,0,0,0,22,0,11,0,11
GrievanceManagementSystem,com.feedback.serviceImplementation,TicketServiceImpl,132,455,24,22,37,123,20,11,0,8
GrievanceManagementSystem,com.feedback.serviceImplementation,UserServiceImpl,50,444,6,20,11,109,6,17,0,10
GrievanceManagementSystem,com.feedback.serviceImplementation,DepartmentServiceImpl,0,143,0,4,0,43,0,11,0,9
GrievanceManagementSystem,com.feedback.serviceImplementation,AuthenticationServiceImpl,0,38,0,6,0,11,0,6,0,3
GrievanceManagementSystem,com.feedback.custom_exception,ResourceNotFoundException,0,53,0,0,0,16,0,8,0,8
GrievanceManagementSystem,com.feedback.custom_exception,TicketNotFoundException,0,15,0,0,0,4,0,2,0,2
GrievanceManagementSystem,com.feedback.custom_exception,UserNotFoundException,0,26,0,0,0,6,0,3,0,3
GrievanceManagementSystem,com.feedback.custom_exception,PasswordChangeException,0,4,0,0,0,2,0,1,0,1
GrievanceManagementSystem,com.feedback.custom_exception,DepartmentNotFoundException,0,15,0,0,0,4,0,2,0,2
GrievanceManagementSystem,com.feedback.custom_exception,NullPointerFromFrontendException,0,39,0,0,0,8,0,4,0,4
GrievanceManagementSystem,com.feedback.custom_exception,AlreadyExistExcepton,0,26,0,0,0,6,0,3,0,3
GrievanceManagementSystem,com.feedback.custom_exception.Handler,ControllerExceptionHandler,0,40,0,0,0,11,0,6,0,6
GrievanceManagementSystem,com.feedback.filter,FilterConfiguration,0,27,0,0,0,7,0,2,0,2
GrievanceManagementSystem,com.feedback.filter,AuthenticationFilter,0,71,0,4,0,20,0,4,0,2
GrievanceManagementSystem,com.feedback.payloads.user_dto,LoginDtoIn,0,99,0,10,0,26,0,16,0,11
GrievanceManagementSystem,com.feedback.payloads.user_dto,LoginDtoOut,6,190,8,10,3,40,8,18,0,17
GrievanceManagementSystem,com.feedback.payloads.user_dto,GetAllUsersDtoOut,11,159,8,8,5,32,9,14,1,14
GrievanceManagementSystem,com.feedback.payloads.user_dto,PasswordChangeDtoIn,6,133,6,8,3,30,6,14,0,13
GrievanceManagementSystem,com.feedback.payloads.user_dto,AddUserDto,2,167,5,11,1,36,5,18,0,15
GrievanceManagementSystem,com.feedback.payloads.user_dto,UserProfileDtoOut,6,164,7,9,3,35,7,16,0,15
GrievanceManagementSystem,com.feedback,GrievanceManagementSystemApplication,0,8,0,0,0,3,0,2,0,2
GrievanceManagementSystem,com.feedback.mapper,EstatusConverter,0,21,0,4,0,7,0,5,0,2
GrievanceManagementSystem,com.feedback.mapper,EroleConverter,0,17,0,4,0,7,0,5,0,3
GrievanceManagementSystem,com.feedback.payloads.ticket_dto,GetTicketsDtoIn,0,170,4,12,0,38,4,19,0,15
GrievanceManagementSystem,com.feedback.payloads.ticket_dto,TicketDto,0,221,5,15,0,47,5,24,0,19
GrievanceManagementSystem,com.feedback.payloads.ticket_dto,UpdateTicketDtoIn,4,144,3,11,2,31,3,18,0,14
GrievanceManagementSystem,com.feedback.payloads.ticket_dto,GetTicketDtoOut,6,293,11,15,3,59,11,27,0,25
GrievanceManagementSystem,com.feedback.controller,TicketController,22,53,4,4,5,20,4,6,1,5
GrievanceManagementSystem,com.feedback.controller,DepartmentController,0,93,0,4,0,26,0,8,0,6
GrievanceManagementSystem,com.feedback.controller,UserController,0,161,0,8,0,40,0,12,0,8
GrievanceManagementSystem,com.feedback.payloads.department_dto,DepartmentListDto,0,92,1,9,0,22,1,13,0,9
GrievanceManagementSystem,com.feedback.payloads.department_dto,AddDepartemntDto,0,62,0,6,0,18,0,10,0,7
